stock,year,price
SPY,2006,147.53
SPY,2007,149.42
SPY,2008,155.09
SPY,2009,158.07
SPY,2010,161.8
SPY,2011,159.64
SPY,2012,167.89
SPY,2013,162.86
SPY,2014,168.01
SPY,2015,169.7
DIA,2006,136.02
DIA,2007,138.21
DIA,2008,143.48
DIA,2009,146.28
DIA,2010,149.75
DIA,2011,147.53
DIA,2012,153.98
DIA,2013,147.40
DIA,2014,150.83
DIA,2015,153.60
QQQ,2006,66.51
QQQ,2007,66.73
QQQ,2008,68.75
QQQ,2009,70.5
QQQ,2010,73.02
QQQ,2011,71.27
QQQ,2012,75.77
QQQ,2013,75.47
QQQ,2014,78.88
QQQ,2015,82.15
EWZ,2006,55.68
EWZ,2007,54.08
EWZ,2008,53.44
EWZ,2009,54.09
EWZ,2010,49.92
EWZ,2011,43.86
EWZ,2012,43.5
EWZ,2013,42.39
EWZ,2014,47.91
EWZ,2015,50.07
FXI,2006,40.38
FXI,2007,37.93
FXI,2008,35.96
FXI,2009,36.75
FXI,2010,35.06
FXI,2011,32.52
FXI,2012,34.26
FXI,2013,35.13
FXI,2014,37.08
FXI,2015,38.12
EWG,2006,25.27
EWG,2007,24.24
EWG,2008,24.05
EWG,2009,25.03
EWG,2010,25.7
EWG,2011,24.7
EWG,2012,26.32
EWG,2013,25.66
EWG,2014,27.81
EWG,2015,28.35
EWH,2006,19.83
EWH,2007,19.66
EWH,2008,19.39
EWH,2009,19.99
EWH,2010,19.25
EWH,2011,18.33
EWH,2012,19.14
EWH,2013,18.81
EWH,2014,20.03
EWH,2015,20.41
